user,url,likes,comments,l/f,followers
https://www.instagram.com/scuba_photography_dave,https://scontent-nrt1-1.cdninstagram.com/t51.2885-15/e35/21479930_116129412429221_1326512902911295488_n.jpg,9,0,0.032846715,274
https://www.instagram.com/lauradedenroth,https://scontent-nrt1-1.cdninstagram.com/t51.2885-15/e15/21480317_124225061564032_8043855403261362176_n.jpg,18,0,0.13740458,131
https://www.instagram.com/internatgeo,https://scontent-nrt1-1.cdninstagram.com/t51.2885-15/e35/21479752_911373505678167_4206610322548588544_n.jpg,31,1,0.055855856,555
https://www.instagram.com/wijdanemazhar,https://scontent-nrt1-1.cdninstagram.com/t51.2885-15/e35/21576581_1944257642480547_2315897776761733120_n.jpg,6,0,0.018292683,328
https://www.instagram.com/lucian.ivan,https://scontent-nrt1-1.cdninstagram.com/t51.2885-15/e35/21433710_269391473565349_303248940482953216_n.jpg,51,1,0.093577982,545
https://www.instagram.com/zhihao39,https://scontent-nrt1-1.cdninstagram.com/t51.2885-15/e35/21435334_149696728953382_8819468987306868736_n.jpg,11,1,0.03125,352
https://www.instagram.com/nurakura,https://scontent-nrt1-1.cdninstagram.com/t51.2885-15/e35/21434092_599691637086232_7999876870885605376_n.jpg,9,1,0.006241331,1442
https://www.instagram.com/officialbyronrozul,https://scontent-nrt1-1.cdninstagram.com/t51.2885-15/e35/21435373_183884878821724_6075692781672595456_n.jpg,37,0,0.026241135,1410
https://www.instagram.com/suzukibari,https://scontent-nrt1-1.cdninstagram.com/t51.2885-15/e35/21435911_126853201297883_1854012050242535424_n.jpg,15,3,0.060728745,247
https://www.instagram.com/oksn10,https://scontent-nrt1-1.cdninstagram.com/t51.2885-15/e35/21480120_1935532023369464_2657853318998523904_n.jpg,3,0,0.5,6
https://www.instagram.com/evertonmac1982,https://scontent-nrt1-1.cdninstagram.com/t51.2885-15/e35/21436304_217630935434885_7344143078271221760_n.jpg,16,0,0.037914692,422
https://www.instagram.com/anna_smolyaga,https://scontent-nrt1-1.cdninstagram.com/t51.2885-15/e35/21434009_147158469213734_3037022918904119296_n.jpg,34,0,0.054487179,624
https://www.instagram.com/loves_united_ancona,https://scontent-nrt1-1.cdninstagram.com/t51.2885-15/e35/21433291_115416152510563_4323536443495415808_n.jpg,27,4,0.057446809,470
https://www.instagram.com/toooong,https://scontent-nrt1-1.cdninstagram.com/t51.2885-15/e35/21434091_116075029111909_4682689846534209536_n.jpg,17,2,0.030088496,565
https://www.instagram.com/olgunzeynep,https://scontent-nrt1-1.cdninstagram.com/t51.2885-15/e35/21480295_116725032344406_32442486441902080_n.jpg,29,0,0.042709867,679
https://www.instagram.com/vungocthaonhi,https://scontent-nrt1-1.cdninstagram.com/t51.2885-15/e35/21568691_408583299540034_1804415335571390464_n.jpg,74,1,0.011995461,6169
https://www.instagram.com/silvanapabonartist,https://scontent-nrt1-1.cdninstagram.com/t51.2885-15/e35/21435879_120261441968120_3680795395102867456_n.jpg,10,0,0.00617284,1620
https://www.instagram.com/antoniocurbe,https://scontent-nrt1-1.cdninstagram.com/t51.2885-15/e35/21436029_225846384612417_4021423457437745152_n.jpg,31,0,0.213793103,145
https://www.instagram.com/pic_of_my_discovery,https://scontent-nrt1-1.cdninstagram.com/t51.2885-15/e15/21568935_1491445197639133_647543371585290240_n.jpg,5,0,0.034013605,147
https://www.instagram.com/scuba_photography_dave,https://scontent-nrt1-1.cdninstagram.com/t51.2885-15/e35/21479691_269559236871761_4529429805501775872_n.jpg,20,0,0.072992701,274
https://www.instagram.com/elixir_rx,https://scontent-nrt1-1.cdninstagram.com/t51.2885-15/e35/21568569_479359915760839_4108822936649990144_n.jpg,9,1,0.032727273,275
https://www.instagram.com/iman.valena,https://scontent-nrt1-1.cdninstagram.com/t51.2885-15/e35/21435334_1278693852240404_4214422567412301824_n.jpg,28,1,0.034271726,817
